epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,32522,1.52424,1.70728,1.67344,0.49189,0.42982,0.39152,0.13974,2.07166,2.09045,2.181,0.0002774,0.0002774,0.0002774
89,32891.8,1.53877,1.69743,1.6826,0.44186,0.50877,0.39259,0.14202,2.07592,2.10179,2.1869,0.0002576,0.0002576,0.0002576
90,33261.7,1.51478,1.71201,1.66307,0.39437,0.50877,0.37496,0.14236,2.03252,2.13472,2.14787,0.0002378,0.0002378,0.0002378
91,33629.7,1.61496,1.88033,1.78306,0.46224,0.52632,0.44357,0.1586,2.03643,1.98225,2.14892,0.000218,0.000218,0.000218
92,34011.4,1.60612,1.79999,1.79309,0.40215,0.49123,0.40889,0.13953,2.08315,2.09408,2.22403,0.0001982,0.0001982,0.0001982
93,34383.6,1.56475,1.75954,1.75765,0.44526,0.48246,0.40492,0.14852,2.07468,2.07485,2.19129,0.0001784,0.0001784,0.0001784
94,34750.2,1.55233,1.74043,1.75633,0.45766,0.41454,0.41321,0.14788,2.09223,2.09134,2.21632,0.0001586,0.0001586,0.0001586
95,35118.2,1.57939,1.75039,1.76239,0.42247,0.53509,0.39494,0.14369,2.11447,2.02875,2.21716,0.0001388,0.0001388,0.0001388
96,35486.4,1.56639,1.71874,1.7515,0.42198,0.53795,0.39896,0.13776,2.13551,2.08264,2.26725,0.000119,0.000119,0.000119
97,35853.8,1.55562,1.73278,1.76117,0.4658,0.48953,0.39364,0.1404,2.09538,2.0764,2.23296,9.92e-05,9.92e-05,9.92e-05
98,36228,1.56699,1.73359,1.76587,0.4294,0.51754,0.40209,0.14535,2.10523,2.08135,2.23328,7.94e-05,7.94e-05,7.94e-05
99,36593.8,1.5463,1.71188,1.74559,0.46184,0.48246,0.40973,0.14222,2.1365,2.09863,2.25321,5.96e-05,5.96e-05,5.96e-05
